Title,Author,Date,Review,Rating
"A film with a heart that focuses on two lovers, and sees the disaster through their eyes...",Nazi_Fighter_David,11 December 2001,"James Cameron's 'Titanic' is essentially a romantic adventure with visual grandeur and magnificence, a timeless tragic love story set against the background of this major historical event... It's an astonishing movie that exemplifies hope, love and humanity... Leonardo DiCaprio is terrific on screen with big charisma... Conveying passion, trust, insouciance and ingenuity, he's a free-spirited wanderer with artistic pretensions, and a zest for life... Kate Winslet is absolutely lovely as the confused upper-class teen engaged to a nasty rich guy who finds herself, one night, plunged to the depths of despair...Billy Zane is an arrogant racist, abusive and ultra rich who would lie, cheat, steal, bribe with money or even use an innocent young child to escape defeat... He keeps a 56 carat blue diamond worn by Louis XVI...Kathy Bates is the legendary unsinkable Molly Brown, the richest woman in Denver, who is a lot less uptight than the other rich folk on the ship...Frances Fisheris is the impecunious cold snobbish mother who, deathly afraid of losing her social stature, forces her daughter to become engaged to marry a rich, supercilious snob...Victor Garber is the master shipbuilder, the real-life character who attempts to fix time, to measure it, in a sense, to make it into history... Jonathan Hyde is the White Star Chairman who wants the Titanic to break the Trans-Atlantic speed record, in spite of warnings that icebergs may have floated into the hazardous northern crossing...Bill Paxton is the opportunistic undersea explorer in search for a very rare diamond called the ""Heart of the Ocean."" Gloria Stuart is the 101-year old woman who reveals a never-before told love story... The nightmare, the horror and the shock are imprinted upon her deeply lined face... 'Titanic' is loaded with luminous photography and sweeping visuals as the footage of the shipwrecked Ocean liner lying motionless on the ocean floor; the incredible transformation of the bow of the sunken 'Titanic' that takes the viewer back to 1912, revealing the meticulously re-created interiors; the first sight of the Titanic steamed steadily toward her date with destiny; the Titanic, leaving the Southampton dock, and some dolphins appear jumping, racing along in front of the luxurious ship; DeCaprio and Winslet flying at the ship's front rail in a gorgeous magic moment; the intertwining of past and present as Jack was drawing Rose on his paper, the camera zooms closely on young Rose's eye, only to transform its shape into Gloria Stuart's aged eye...Chilling scenes: Titanic's inevitable collision with destiny; James Cameronin one of the most terrifying sequences ever put on film takes us down with the Titanic, finally leaving us floundering in the icy water, screaming for help that never comes...Winner of 11 Academy Awards, including Best Picture, James Cameron's ""Titanic"" is a gigantic epic where you don't just watch the film, you experience it! The visual effects are amazing, like no other film's... The decor is overwhelming... James Horner's music intensifies the emotions... The whole movie is hunting and involving, filled with a wide range of deep feelings... It's truly a moving tribute to those who lost their lives on that unfortunate ship...",10/10
Wow,ethanbresnett,13 November 2022,"OK, so somehow I've managed to get to the age of 27 never having seen Titanic. Sure I know people love it, it won all the Oscars, it's constantly talked about, but I just kept thinking ""can it really be that good, surely it's over-hyped""... reader, it really is that good.The love story between Jack and Rose is just so engaging. So much so I was willing the ship not to sink so I could watch more of it. The chemistry between DiCaprio and Winslet is spot on and I was so drawn in by the story they were telling. Just wonderful.Then there's the actual sinking of the Titanic which is expertly retold by Cameron. You feel every moment of dread and panic. It makes for a harrowing and powerful watch and also a visual spectacle.The set design and costume etc are all superb. You totally feel like you are on the ship and thrust into the time period.Also, considering it is over three hours long, James Cameron manages to make it fly by. I must admit the length of the film always kind of put me off watching it but rest assured it does not feel long at all, such is the technical mastery and the brilliant story.Fantastic score too.Titanic is one of those films where, if like me you have put off watching it, you should remedy that as soon as possible. You will not be disappointed.",9/10
First time in theater,nikashvili,15 February 2023,"I have loved this film since the day I saw it in 1999 on two VHS tapes on my post-soviet TV. I have watched it since then countless times, but never on a big screen until now. I, once again, fell in love with Titanic as I watched it in the theater.Titanic in 3D on a massive screen is the most epic film that I have ever seen. Nothing can come to the scale of it; every shot is made to drop your jaw, to blow your mind and give you most mind-blowing movie-going experience. Only someone as arrogant as James Cameron could make a film like this.No film will ever dethrone Titanic as my all-time favorite movie.",10/10
The best,noblesaidjusticemattox,23 January 2022,The best movie. Everyone watched it on February or on Valentine's Day. And I always love this movie so much. This is a Valentine's Day movie in case you need to know.,10/10
"Very ambitious, but beautifully filmed and acted.",TheLittleSongbird,3 June 2009,"I had few problems with this film, and I have heard a lot of criticisms saying it is overlong and overrated. True, it is over three hours long, but I was amazed that it goes by so quickly. I don't think it is overrated at all, I think the IMDb rating is perfectly decent. The film looks sumptuous, with gorgeous costumes and excellent effects, and the direction from James Cameron rarely slips from focus. Leonardo DiCaprio gives one of his best performances as Jack, and Kate Winslet is lovely as Rose. David Warner, a great actor, steals every scene he's in. The story is very rich in detail, and is hot on character development, obvious with the love story which is very moving when it needs to be, though in the first bit of the movie it is a little slow. The last hour is extremely riveting, and I will confess that I was on the edge of my seat, when the Titanic sank. I will also say that the last five minutes were very moving. The music score by James Horner was lovely, though I never was a huge fan of the song My Heart will Go On. The 1996 miniseries was good, but suffered from undeveloped scenarios and some historical inaccuracies. Overall, I give Titanic an 8.5/10. Bethany Cox.",8/10
"Timeless, moving, and epic",v2pointoh,17 June 2002,"Every once in a while the conversation will turn to ""favorite movies."" I'll mention Titanic, and at least a couple people will snicker. I pay them no mind because I know that five years ago, these same people were moved to tears by that very movie. And they're too embarrassed now to admit it.I just rewatched Titanic for the first time in a long time. Expecting to simply enjoy the story again, I was surprised to find that the movie has lost none of its power over these five years. I cried again.... in all the same places. It brought me back to 1997 when I can remember how a movie that no one thought would break even became the most popular movie of all time. A movie that burst into the public consciousness like no other movie I can recall (yes, even more than Star Wars). And today, many people won't even admit they enjoyed it. Folks, let's get something straight -- you don't look cool when you badmouth this film. You look like an out of touch cynic.No movie is perfect and this one has a few faults. Some of the dialogue falls flat, and some of the plot surrounding the two lovers comes together a little too neatly. However, none of this is so distracting that it ruins the film.Leonardo DiCaprio and Kate Winslet are wonderful. Leo is one of the fine actors of his generation. Wait 'til you see him in Gangs of New York before you call him nothing more than a pretty boy. Kate Winslet was so strong in this film. The movie really was hers, and she held it together beautifully.James Cameron managed what many believed was impossible by recreating a completely believable Titanic. The sinking scenes were horrific, just as they were that night. How anyone can say the effects were bad is beyond me. I was utterly transfixed.This film is one memorable scene after another. Titanic leaving port in Southampton. Rose and Jack at the bow, ""flying"". ""Iceberg, right ahead!"" The screws hanging unbelievably out of the ocean. The screams of the doomed after she went down. And that ending that brought even the burliest man in the theater to tears.The music, which has also been a victim of the film's success, was a key ingredient. James Horner's score was simply perfect. And the love theme was beautiful and tragic. Too bad Celine Dion's pop song version had to destroy this great bit of music for so many.I confess, I am a Titanic buff. As such, I relished the opportunity to see the ship as we never got to see it -- in all its beauty. Perhaps watching it sink affected me more than some because I've had such an interest in the ship all my life. However, I doubt many of those I saw crying were Titanic buffs. I applaud Cameron for bringing this story to the masses in a way that never demeaned the tragedy. The film was made with such humanity.Another reviewer said it better than I ever could: Open up your hearts to Titanic, and you will not be disappointed.",10/10
Powerful Film About Finding The Will To Live,DanielStephens1988,3 August 2020,"The true reason that Jack has to die doesn't lie in the physics of surviving in very cold water, but in the inner logic of the story. Jack has to die because he exists in order to empower Rose and give her the will to live. And once that story purpose is fulfilled, he's gone.I think we tend to fixate on the insanely iconic romance scenes and the sinking of the ship. But a big focus of the actual movie is on the theme of finding the will to live. From Roses perspective, it's as if Jack conveniently springs into existence precisely when she needs him to stop her from ending her life and reveal to her a better way out of her misery. The moment that Jack dies is also the moment when Rose finally commits wholeheartedly to not dying. Jack teaches Rose to keep the fire going within her to rekindle in her the desire to live.Before the Titanic hits the iceberg, money, expressed as the classes onboard, seems all-important, especially to the people in first class. But when we're facing down death, all the riches in the world are suddenly revelled to be worthless. The move illustrates this perfectly when Cal tries to bride First officer Murdoch for a seat on the lifeboat. But Murdoch is about to die; so what use is money to him? Therefore if your ship is going down what does it matter what class you're going to die in? Near the end of the movie, we're told Cal commits suicide after losing much of his money in the Crash of 29. So because Cal cant understand that money really isn't everything, it's as if he never actually learns what the value of life is. When the older rose throws the heart of the ocean into the water at the end, she's again rejecting Cal's value system and the idea that wealth matters anywhere near as much as those inner, spiritual things that drive us. So Rose is giving the heart of the ocean back to Jack and recognizing the way that he resorted her heart to her - helping her find the fire within that she needed to live this long, full life.Rose appears at the start to be the ""damsel in distress' type. But it quickly becomes clear that Rose is our real hero - she's the one who undergoes a complete transformation, and this is her story. Jack exists to service Rose's story. Jack purpose in Titanic is to enable Rose's character growth. Jack has given her all the tools necessary for her survival, so his role in the story is complete. And that, essentially is why he has to die at the end. Not because he can't fit on the door but because the story has no more use for him. In the later story, the crew searching for the diamond tell us they didn't find anything on Jack and there's no record of him. The story gives us an excuse for this - Jack won his ticket last minute in a poker game. But it seems intentional that the movie plants the tiniest seed of doubt as to whether Jack was really on the ship after all. At the end of Rose's life. Jacks memory is completely erased from the world, except for the indelible impact he's left on her - so he's alive only in her heart. It's a bit of a stretch to read Titanic as Rose's romance with a guy who's totally imaginary - of course, many others interact with Jack. But the point is that jack has a subtle air of unreality about him... he feels like some fantasy of a sexy life-coach that every girl needs from time to time to help her reorient her heart in the right direction.Jack is the piece of her that's missing. A woman getting in touch with her animus (Masculine Side) often involves finding strength of will and determination to act. These are things that historically, society hasn't really encouraged in women (espeically in 1912). But as soon as Rose merges with Jack, her animus, she becomes daring and holds, her own woman. In an incredibly accelerated timeline, she ditches her fiance and turns her back on her family and social class. Rose shows sexual agency, too, actively pursuing Jack in their romance. And after she has sex with Jack, Rose is assertive, holding and comforting him. When she arrives on the other shore, she assumes a new name in a new country. Taking his last name is a symbolic commitment to Jack, representing the idea that in her secret mind, she is forever married to him. But if we say that he's her animus her ""marriage' to this piece of herself would symbolize a promise that she'll never abandon her own agency and will again. Jacks death can be read as the moment when her animus ceases to be something sperate from her - and the result is Rose Dawson.So as much as our culture remembers Titanic for the romance, fittingly the deepest theme of this movie about so many tragic deaths is finding the will to live. In order for Rose to recapture her will to live, she needs to honestly face what's wrong in her life and cut that out. Committing to being alive means committing to living authentically as oneself.Great movie that sill holds up all these years. RIP James Horner & Bill Paxton",10/10
If you haven't yet saw Titanic. Get onboard! Titanic is king of the world!,ironhorse_iv,14 June 2014,"When you talk about 1990's pop culture, it's really hard to not mention, the biggest blockbuster from that decade, Oscar Winner, Best Picture of 1997's Titanic. Directed, written, by James Cameron, the movie had everything that people wish to see in a movie, making it one of the biggest money makers of all time. The movie had plenty of action, history, romantic, and music to get everybody onboard. The movie gives a fictionalized account of the sinking of the RMS Titanic in April 14, 1912. It tells the story of two members of different social classes, high socialite Rose DeWitt Bukater (Kate Winslet) and working class, Jack Dawson (Leonardo Dicaprio) falling in love aboard the ship during its ill-fated maiden voyage. The movie was so popular, that a 3D version of the film was released on April 4, 2012 to commemorate the centennial of the sinking, earning it more money. The 3D version was pretty good. Titanic spun a number of other successful things such as; musicals, soundtrack, hundreds of different types of merchandise, books about the Titanic, a video game about Titanic and countless rip-offs movies. I think a good reason why a lot of people went to see this movie is how simple the story is. Yes, it's a bit predictable and pretty recycled from old Hollywood style that previous Titanic type movies had, such as 1958's A Night to Remember & 1953's Titanic. You can really see it, if you look close enough. It's full of familiar tropes and clichés. Still, the movie concept really got update to epic scale with the expensive budget, well use, in the films visual, special effects, costume, sets, and other sides of the production. James Cameron really made the movie felt like it overlap a lot of genres. It was great historical romantic action movie with many subplots like a treasure finding mystery suspense, a horror lifetime movie melodrama about female abuse, a social commentary film about classism and social Darwinism, etc. etc. Indeed, the movie is mostly label as a love movie, and this is where some people might be turn off. People do love story, when there is something in stake. By putting their lives in stake, people want to see them overcome the dangers. People also love movie if the two actors playing a couple really do show on chemistry on film. Both Leo & Kate did well in their roles showing their charm, but their characters don't have much depth to them. We really don't see, much faults in them. Their characters are very simplistic people. Also, some of their dialogue made the love story seem unrealistic or too silly to be taken serious of. Some people might hate the song by Celine Dion, 'Heart will go on' but in my opinion, the song works so well. I do think, it does get a little bit overplayed. I also have to give mad props to James Horner's score. All of the music in the film does give the movie, its great epic romantic tone and later, it's intense edge. I had lots of fun, watching the Titanic lower class party. The music there, really fit the scene. The movie also has great cinematography, as it was all eye candy to me. You can't help going in front of any ship bow, and not think of that scene from this movie. Indeed, you're feel like you're flying. For a PG-13 movie, I was deeply surprise how erotic, it was. I was just a little kid, when it first came out, the movie was the first time; I noticed that women had pubic hair. I found the sex scenes and the nudity to be tasteful. Still, the whole love affair, really does undermine, the time wasted that could cover the real victims of the Titanic sinking, more. While the actors playing supporting historical characters were all great in their roles. They were also all one-dimensional props. I still felt emotional to them, when 'Nearer, My God, to Thee,' to the tune of Bethany was playing. It was hard not to feel something about the film. Another thing people might hate is the pacing. The movie is really long and seem slow at times. The movie is also a bit historical inaccurate, but the movie went into great details to make the movie seem like the Titanic, you see here is the real Titanic. Buy the DVD as there are a lot of great special features like delete scenes, commentary, and behind the screens. The 2012 DVD version also clean up some of the big mistakes. It felt like the special edition that wasn't destroy the original work. If you happen to find it on TV, just note that it will be cut down, and censor a bit. It's nearly unwatchable. Overall: Sink or swim. Is the movie, the best Titanic movie ever? So-far, yes. Is it the worst? So-Far-no. It was safe exceptionalism type of movie. I wouldn't say, it's the smartest movie, but I would say, its lack of complexity doesn't make it not watchable. From the opening shot to the bittersweet ending, it was just amazing to watch. This movie like the actual event will always be remember on.",8/10
Masterpiece,mohammaderfan-02121,8 April 2021,I just want to say wether fictional or not this movie is a masterpice and how it have only 7.8 rantings.,10/10
"10/10, Perfection",dcdude-26988,24 September 2023,"I honestly think that this is the greatest movie that I have ever watched. Every part of this movie was just perfection from the beginning, the middle/climax, and then the ending. I heard that this movie was more for girls, but as a man, I honestly enjoyed it. Anyways, my favorite characters in this movie were Jack, Rose, and Cal, and my favorite things about this movie were just every aspect ever named. Now, get this. Even though the movie was 3 hours and 14 minutes long, I do feel like the pacing was perfect for the movie. So much happened on the memorable night, and this movie perfectly recreates it. Honestly, this movie deserves to be in the IMDb top 250 and definitely deserved the 11 oscars it won.",10/10
An all-time great film,toutouguy,6 August 2022,"Beautiful, feel-good and touching movie. All those poor souls that knew it was their end, I cannot imagine the horror. Leonardo DiCaprio is a generational talent; I cannot believe he was only around 20 years old when production began in 1995.The portrayal and accuracy of the actual events is pretty accurate, as well as the raw emotions captured from the cast when facing the dire situation of a sinking ship with not enough time, lifeboats, or assistance.I love movies like this that spread awareness and gives those who cannot speak for themselves anymore a ""voice"". Though this tragic incident happened over 100 years ago, I can feel sympathy for all those affected by the sinking of the Titanic. James Cameroon did a fantastic job.",9/10
One hell of a movie,tamerratorrence-41936,25 June 2023,"I've never watched Titanic until now. It caught my interest when I heard the story about those 5 people who lost their lives on an expedition to the Titanic.I've heard about this movie for years and finally decided to watch it. It's honestly one of the best movies I've seen. I had so many emotions watching it. Laughter, tears, anger, terror etc.The characters were phenomenal. To think of all of those people who really went through pure terror. I couldn't imagine.Needless to say, if you have not seen this movie, please go watch it. I had to add it to my list of favorite movies.Job well done to everyone involved in making this masterpiece.",9/10
A division of morality,snagssharkteeth-23785,30 December 2018,"I see little point in being the two thousandth six hundred and nineteenth person in reviewing this movie but why not? I saw this movie on its release, being a ten year old child I was more concerned about seeing a young naked female than watching fifteen thousand five hundred and three people die.Such a movie was shut away in the back of my small silly mind and revived on the odd occasion through out my life. Over all I presumed this movie had little to no impact on my life until I realized it inspired my artistic talent.That mysterious picture of Rose was set in my mind from a very young age and inspires me to this day along with the other pictures in Jacks portfolio. Anyone with an artistic flare would know what I am talking about.Later on in life I presumed this movie was a propaganda piece and took less care to even notice it. Until I took notice.
It became evident that this movie portrayed two peoples exceptionally well, the rich and the poor.
That was the division and a sad one at that.
Its easy to focus on the love life of Jack and Rose but easier to focus on the indignation of the rich and poor and I think the movie might of underplayed that.
Which is acceptable.Its easy to say the movie was a tragic one but its easier to say it represents a heart of darkness and it is that darkness that makes one cry.
Its extremely well filmed. The filmography is brilliant, the music enumerates and over all the entire film compliments itself each second.There was a dispensation in film making of peak performances, this era seemed to last less than twenty years, this film was filmed during it,",10/10
One of the best,numenorsniper-66396,12 December 2020,"I have watched Titanic dozens if not hundreds of times since I first got it on VHS as a kid in the 90s. I hadn't watched it for many years until the past few days when I watched it a few times in a row, and really appreciated it on a deeper level I felt, or maybe just remembered how truly great it is.Sure it has its cinematic flaws, such as seeing waves lapping at the shoreline next to the set when it should be the Titanic in the middle of the ocean.
But then again all films have their little quirks and errors scattered throughout. Despite those found in Titanic, the emotion that the film makes me feel is unmatched by any other movie. It is pure magic from start to finish, many times throughout the film my eyes well up with tears, or outright balling.It's one of the few movies that I would pay good money to see again in a massive full theatre.I really don't know why it's not in the IMDb top 250, when many films on the list are trash in comparison to Titanic, in my opinion.Titanic is in my Top 10 of all time, alongside Lord of the Rings, Hero, Kimi No Na Wa, Princess Mononoke, and Lonesome Dove, and others.",10/10
